Zip Code,Population,Group Visits,Individual Visits,Visits per 10000
14805,1108,1,2.87,25.90252708
14850,69271,2,5.74,0.828629585
14867,5490,2,5.74,10.45537341
14882,3890,3,8.61,22.13367609
15009,15594,1,2.87,1.840451456
15010,28736,1,2.87,0.998747216
15090,24985,1,2.87,1.148689214
15146,28672,1,2.87,1.000976563
15147,16356,1,2.87,1.754707753
15201,12802,2,5.74,4.483674426
15206,28774,1,2.87,0.997428234
15208,9601,1,2.87,2.989271951
15215,12489,1,2.87,2.29802226
15217,26851,3,8.61,3.206584485
15218,13497,5,14.35,10.63199229
15221,28913,1,2.87,0.992633072
15222,5976,1,2.87,4.802543507
15224,10568,1,2.87,2.715745647
15229,14625,1,2.87,1.962393162
15234,13966,1,2.87,2.054990692
15238,13266,3,8.61,6.490275893
15241,22198,1,2.87,1.292909271
15644,18320,3,8.61,4.699781659
15722,2452,1,2.87,11.70473083
15801,20246,1,2.87,1.417563963
15834,4078,1,2.87,7.03776361
16056,4779,3,8.61,18.01632141
16066,32922,1,2.87,0.871757487
16509,28005,1,2.87,1.024816997
16801,42446,1,2.87,0.67615323
16823,29345,1,2.87,0.978020106
16870,7452,2,5.74,7.702630166
17007,5954,1,2.87,4.820288881
17025,17664,2,5.74,3.249547101
17044,20681,1,2.87,1.387747208
17070,16359,1,2.87,1.754385965
17111,36557,1,2.87,0.785075362
17268,29587,1,2.87,0.970020617
17315,26317,1,2.87,1.090549835
17363,9122,1,2.87,3.14623986
17554,8042,1,2.87,3.568763989
17560,5253,1,2.87,5.463544641
17601,55710,1,2.87,0.515167833
17751,7189,3,8.61,11.97663096
17815,28936,1,2.87,0.99184407
18018,32388,1,2.87,0.886130666
18040,16980,1,2.87,1.690223793
18066,5834,2,5.74,9.838875557
18078,6996,1,2.87,4.102344197
18505,20982,1,2.87,1.3678391
18626,556,1,2.87,51.61870504
18701,4658,1,2.87,6.161442679
18704,31138,3,8.61,2.765110155
18947,6089,1,2.87,4.713417638
19002,33279,1,2.87,0.862405721
19021,10001,3,8.61,8.609139086
19026,32021,2,5.74,1.792573624
19053,28179,2,5.74,2.036977891
19063,38338,3,8.61,2.245813553
19067,53153,1,2.87,0.539950708
19072,10008,1,2.87,2.867705835
19087,33501,2,5.74,1.71338169
19102,7568,1,2.87,3.792283298
19103,28717,2,5.74,1.998816032
19104,56839,1,2.87,0.504934992
19106,15190,1,2.87,1.889400922
19118,9728,1,2.87,2.950246711
19125,25325,1,2.87,1.133267522
19130,31477,2,5.74,1.823553706
19134,57463,1,2.87,0.499451821
19139,43281,1,2.87,0.663108523
19143,64648,1,2.87,0.443942581
19147,41096,1,2.87,0.698364804
19342,20550,1,2.87,1.396593674
19344,12869,1,2.87,2.230165514
19350,11030,1,2.87,2.60199456
19380,50692,1,2.87,0.566164286
19382,52498,1,2.87,0.546687493
19406,28553,1,2.87,1.005148321
19446,58930,4,11.48,1.948073986
19504,5343,1,2.87,5.371514131
19608,24378,3,8.61,3.531873
19609,10478,1,2.87,2.739072342
19702,55653,1,2.87,0.51569547
19711,48477,2,5.74,1.184066671
19806,10083,1,2.87,2.846375087
19810,25270,2,5.74,2.271468144
19938,10131,1,2.87,2.832889152
19958,27911,1,2.87,1.028268425
19968,13800,1,2.87,2.079710145
20001,49040,6,17.22,3.51141925
20002,69422,2,5.74,0.826827231
20003,36501,5,14.35,3.93139914
20005,12953,1,2.87,2.215702926
20007,26827,2,5.74,2.139635442
20008,30143,4,11.48,3.808512756
20009,53357,4,11.48,2.151545252
20010,32663,9,25.83,7.908030493
20011,67815,5,14.35,2.116051021
20012,15485,1,2.87,1.853406522
20015,16628,3,8.61,5.17801299
20016,35068,7,20.09,5.728869625
20024,15952,2,5.74,3.598294885
20032,38904,1,2.87,0.737713346
20052,3691,1,2.87,7.77567055
20110,49120,1,2.87,0.584283388
20112,29459,1,2.87,0.974235378
20120,42697,3,8.61,2.01653512
20141,8178,1,2.87,3.509415505
20148,61793,2,5.74,0.928907805
20151,22653,2,5.74,2.533880722
20169,28182,2,5.74,2.036761053
20191,29948,2,5.74,1.916655536
20602,28736,1,2.87,0.998747216
20619,14179,1,2.87,2.024120178
20659,24427,1,2.87,1.174929381
20688,1462,3,8.61,58.89192886
20706,43623,1,2.87,0.657909818
20720,25702,2,5.74,2.233289238
20721,29847,1,2.87,0.961570677
20740,36930,4,11.48,3.108583807
20770,28612,2,5.74,2.006151265
20812,287,1,2.87,100
20814,31919,3,8.61,2.697452928
20815,31517,1,2.87,0.910619666
